i	cleg	tr_type	tr_subtype	det	index	conj_class
44	2>a,b,b+c;0,2,0>2	k	eu	1.0	3	c
45	2>a,b,c>2	k	eu	1.0	3	d
46	2>a,b,c;0,1,0>2	k	eu	1.0	3	d
47	2>a,b,c;0,2,0>2	k	eu	1.0	3	d
48	2>a,a+b,a+c>2	k	eu	1.0	3	e
49	2>a,a+b,a+c;1,0,0>2	k	eu	1.0	3	e
50	2>a,a+b,a+c;2,0,0>2	k	eu	1.0	3	e
51	2>a,a+b,a+c>2	k	eu	1.0	3	f
52	2>a,a+b,a+c;1,0,0>2	k	eu	1.0	3	f
53	2>a,a+b,a+c;2,0,0>2	k	eu	1.0	3	f
54	2>a,a+b,a+c>2	k	eu	1.0	3	g
55	2>a,a+b,a+c;1,0,0>2	k	eu	1.0	3	g
56	2>a,a+b,a+c;2,0,0>2	k	eu	1.0	3	g
57	2>a,a+b,a+c>2	k	eu	1.0	3	h
58	2>a,a+b,a+c;1,0,0>2	k	eu	1.0	3	h
59	2>a,a+b,a+c;2,0,0>2	k	eu	1.0	3	h
60	2>a,b,a+c>2	k	eu	1.0	3	i
61	2>a,b,a+c;1,0,0>2	k	eu	1.0	3	i
62	2>a,b,a+c;2,0,0>2	k	eu	1.0	3	i
63	2>a,b,a+c>2	k	eu	1.0	3	j
64	2>a,b,a+c;1,0,0>2	k	eu	1.0	3	j
65	2>a,b,a+c;2,0,0>2	k	eu	1.0	3	j
66	2>a,a+b,c>2	k	eu	1.0	3	k
67	2>a,a+b,c;1,0,0>2	k	eu	1.0	3	k
68	2>a,a+b,c;2,0,0>2	k	eu	1.0	3	k
69	2>a,a+b,c>2	k	eu	1.0	3	l
70	2>a,a+b,c;1,0,0>2	k	eu	1.0	3	l
71	2>a,a+b,c;2,0,0>2	k	eu	1.0	3	l
72	2>a,b,c>2	k	eu	1.0	3	m
73	2>a,b,c;1,0,0>2	k	eu	1.0	3	m
74	2>a,b,c;2,0,0>2	k	eu	1.0	3	m
75	3>a,b,c>1	t		1.0	2	a
76	3>a-c,b,c;0,0,1/2>3	k	eu	1.0	2	a
77	3>a-c,b,c>3	k	eu	1.0	2	b
78	3>a,b,c;1/2,0,0>3	k	eu	1.0	2	c
79	3>a,b,c>3	k	eu	1.0	2	d
80	3>a,b,c;0,0,1/2>3	k	eu	1.0	2	e
81	3>a,b,c>3	k	eu	1.0	2	f
82	3>a,b,c>3	k	eu	1.0	2	g
83	3>a,b,c>3	k	eu	1.0	3	a
84	3>a,b,c;1,0,0>3	k	eu	1.0	3	a
85	3>a,b,c;2,0,0>3	k	eu	1.0	3	a
86	3>a-c,b,c>3	k	eu	1.0	3	b
87	3>a-c,b,c;0,0,1>3	k	eu	1.0	3	b
88	3>a-c,b,c;0,0,2>3	k	eu	1.0	3	b
89	3>a-c,b,c>3	k	eu	1.0	3	c
90	3>a-c,b,c;0,0,1>3	k	eu	1.0	3	c
91	3>a-c,b,c;0,0,2>3	k	eu	1.0	3	c
92	3>a,b,c>3	k	eu	1.0	3	d
93	3>a,b,c;0,0,1>3	k	eu	1.0	3	d
94	3>a,b,c;0,0,2>3	k	eu	1.0	3	d
95	3>a,b,c>3	k	eu	1.0	3	e
96	3>a,b,c>4	k	eu	1.0	2	a
97	3>a,b,-a+c;1/2,0,0>5	k	eu	1.0	2	a
98	3>a,b,-a+c>5	k	eu	1.0	2	b
99	3>c,b,-a-c;0,0,1/2>5	k	eu	1.0	2	c
100	3>c,b,-a-c>5	k	eu	1.0	2	d
101	3>a,b,c;1/2,0,0>5	k	eu	1.0	2	e
102	3>a,b,c>5	k	eu	1.0	2	f
103	4>a,b,c>1	t		1.0	2	a
104	4>a-c,b,c;0,0,1/2>4	k	eu	1.0	2	a
105	4>a-c,b,c>4	k	eu	1.0	2	b
106	4>a,b,c;1/2,0,0>4	k	eu	1.0	2	c
107	4>a,b,c>4	k	eu	1.0	2	d
108	4>a,b,c;0,0,1/2>4	k	eu	1.0	2	e
109	4>a,b,c>4	k	eu	1.0	2	f
110	4>a,b,c>4	k	eu	1.0	3	a
111	4>a,b,c;1,0,0>4	k	eu	1.0	3	a
112	4>a,b,c;2,0,0>4	k	eu	1.0	3	a
113	4>a-c,b,c>4	k	eu	1.0	3	b
114	4>a-c,b,c;0,0,1>4	k	eu	1.0	3	b
115	4>a-c,b,c;0,0,2>4	k	eu	1.0	3	b
116	4>a-c,b,c>4	k	eu	1.0	3	c
117	4>a-c,b,c;0,0,1>4	k	eu	1.0	3	c
118	4>a-c,b,c;0,0,2>4	k	eu	1.0	3	c
119	4>a,b,c>4	k	eu	1.0	3	d
120	4>a,b,c;0,0,1>4	k	eu	1.0	3	d
121	4>a,b,c;0,0,2>4	k	eu	1.0	3	d
122	4>a,b,c>4	k	eu	1.0	3	e
123	5>1/2a-1/2b,1/2a+1/2b,c>1	t		0.5	2	a
124	5>a,b,c>3	k	ct	1.0	2	a
125	5>a,b,c;1/4,0,0>4	k	ct	1.0	2	a
126	5>a-c,b,c;0,0,1/2>5	k	eu	1.0	2	a
127	5>a-c,b,c>5	k	eu	1.0	2	b
128	5>a,b,c;0,0,1/2>5	k	eu	1.0	2	c
129	5>a,b,c>5	k	eu	1.0	2	d
130	5>a,b,c>5	k	eu	1.0	3	a
131	5>a,b,c;1,0,0>5	k	eu	1.0	3	a
132	5>a,b,c;2,0,0>5	k	eu	1.0	3	a
133	5>a-c,b,c>5	k	eu	1.0	3	b
134	5>a-c,b,c;0,0,1>5	k	eu	1.0	3	b
135	5>a-c,b,c;0,0,2>5	k	eu	1.0	3	b
136	5>a-c,b,c>5	k	eu	1.0	3	c
137	5>a-c,b,c;0,0,1>5	k	eu	1.0	3	c
138	5>a-c,b,c;0,0,2>5	k	eu	1.0	3	c
139	5>a,b,c>5	k	eu	1.0	3	d
140	5>a,b,c;0,0,1>5	k	eu	1.0	3	d
141	5>a,b,c;0,0,2>5	k	eu	1.0	3	d
142	5>a,b,c>5	k	eu	1.0	3	e
143	6>a,b,c>1	t		1.0	2	a
144	6>a-c,b,c>6	k	eu	1.0	2	a
145	6>a,b,c>6	k	eu	1.0	2	b
146	6>a,b,c>6	k	eu	1.0	2	c
147	6>a,b,c;0,1/2,0>6	k	eu	1.0	2	d
148	6>a,b,c>6	k	eu	1.0	2	e
149	6>a,b,c>6	k	eu	1.0	3	a
150	6>a,b,c;0,1,0>6	k	eu	1.0	3	a
151	6>a,b,c;0,2,0>6	k	eu	1.0	3	a
152	6>a-c,b,c>6	k	eu	1.0	3	b
153	6>a,b,c>6	k	eu	1.0	3	c
154	6>a,b,c>6	k	eu	1.0	3	d
155	6>a-c,b,c>6	k	eu	1.0	3	e
156	6>a-c,b,c>7	k	eu	1.0	2	a
157	6>-a-c,b,a>7	k	eu	1.0	2	b
158	6>a,b,c>7	k	eu	1.0	2	c
159	6>a,b,-a+c;0,1/2,0>8	k	eu	1.0	2	a
160	6>a,b,-a+c>8	k	eu	1.0	2	b
161	6>c,b,-a-c;0,1/2,0>8	k	eu	1.0	2	c
162	6>c,b,-a-c>8	k	eu	1.0	2	d
163	6>a,b,c;0,1/2,0>8	k	eu	1.0	2	e
164	6>a,b,c>8	k	eu	1.0	2	f
165	7>a,b,c>1	t		1.0	2	a
166	7>a,b,-a+c>7	k	eu	1.0	2	a
167	7>a,b,c>7	k	eu	1.0	2	b
168	7>a,b,c;0,1/2,0>7	k	eu	1.0	2	c
169	7>a,b,c>7	k	eu	1.0	2	d
170	7>a,b,c>7	k	eu	1.0	3	a
171	7>a,b,c;0,1,0>7	k	eu	1.0	3	a
172	7>a,b,c;0,2,0>7	k	eu	1.0	3	a
173	7>a,b,-a+c>7	k	eu	1.0	3	b
174	7>a,b,c>7	k	eu	1.0	3	c
175	7>a,b,c>7	k	eu	1.0	3	d
176	7>a,b,-a+c>7	k	eu	1.0	3	e
177	7>a,b,c;0,1/2,0>9	k	eu	1.0	2	a
178	7>a,b,c>9	k	eu	1.0	2	b
179	8>1/2a-1/2b,1/2a+1/2b,c>1	t		0.5	2	a
180	8>a,b,c>6	k	ct	1.0	2	a
181	8>-a-c,b,a;0,1/4,0>7	k	ct	1.0	2	a
182	8>a-c,b,c>8	k	eu	1.0	2	a
183	8>a,b,c>8	k	eu	1.0	2	b
184	8>a,b,c>8	k	eu	1.0	3	a
185	8>a,b,c;0,1,0>8	k	eu	1.0	3	a
186	8>a,b,c;0,2,0>8	k	eu	1.0	3	a
187	8>a,b,c>8	k	eu	1.0	3	b
188	8>a-c,b,c>8	k	eu	1.0	3	c
189	8>a-c,b,c>8	k	eu	1.0	3	d
190	8>a,b,c>8	k	eu	1.0	3	e
191	8>a-c,b,c>9	k	eu	1.0	2	a
192	8>a,b,c>9	k	eu	1.0	2	b
193	9>1/2a-1/2b,1/2a+1/2b,c>1	t		0.5	2	a
194	9>a,b,-a+c;0,1/4,0>7	k	ct	1.0	2	a
195	9>a,b,c>7	k	ct	1.0	2	b
196	9>a,b,c>9	k	eu	1.0	3	a
197	9>a,b,c;0,1,0>9	k	eu	1.0	3	a
198	9>a,b,c;0,2,0>9	k	eu	1.0	3	a
199	9>a,b,c>9	k	eu	1.0	3	b
200	9>a-c,b,c>9	k	eu	1.0	3	c
201	9>a-c,b,c>9	k	eu	1.0	3	d
202	9>a,b,c>9	k	eu	1.0	3	e
203	10>a,b,c>2	t		1.0	2	a
204	10>a,b,c>3	t		1.0	2	a
205	10>a,b,c>6	t		1.0	2	a
206	10>a-c,b,c;0,0,1/2>10	k	eu	1.0	2	a
207	10>a-c,b,c>10	k	eu	1.0	2	b
208	10>a,b,c;1/2,0,0>10	k	eu	1.0	2	c
209	10>a,b,c>10	k	eu	1.0	2	d
210	10>a,b,c;0,0,1/2>10	k	eu	1.0	2	e
211	10>a,b,c>10	k	eu	1.0	2	f
212	10>a,b,c;0,1/2,0>10	k	eu	1.0	2	g
213	10>a,b,c>10	k	eu	1.0	2	h
214	10>a,b,c>10	k	eu	1.0	3	a
215	10>a,b,c;1,0,0>10	k	eu	1.0	3	a
216	10>a,b,c;2,0,0>10	k	eu	1.0	3	a
217	10>a-c,b,c>10	k	eu	1.0	3	b
218	10>a-c,b,c;0,0,1>10	k	eu	1.0	3	b
219	10>a-c,b,c;0,0,2>10	k	eu	1.0	3	b
220	10>a-c,b,c>10	k	eu	1.0	3	c
221	10>a-c,b,c;0,0,1>10	k	eu	1.0	3	c
222	10>a-c,b,c;0,0,2>10	k	eu	1.0	3	c
223	10>a,b,c>10	k	eu	1.0	3	d
224	10>a,b,c;0,0,1>10	k	eu	1.0	3	d
225	10>a,b,c;0,0,2>10	k	eu	1.0	3	d
226	10>a,b,c>10	k	eu	1.0	3	e
227	10>a,b,c;0,1,0>10	k	eu	1.0	3	e
228	10>a,b,c;0,2,0>10	k	eu	1.0	3	e
229	10>a,b,c;0,1/2,0>11	k	eu	1.0	2	a
230	10>a,b,c>11	k	eu	1.0	2	b
231	10>a,b,-a+c;0,1/2,0>12	k	eu	1.0	2	a
232	10>a,b,-a+c>12	k	eu	1.0	2	b
233	10>c,b,-a-c;0,1/2,1/2>12	k	eu	1.0	2	c
234	10>c,b,-a-c;0,1/2,0>12	k	eu	1.0	2	d
235	10>c,b,-a-c;0,0,1/2>12	k	eu	1.0	2	e
236	10>c,b,-a-c>12	k	eu	1.0	2	f
237	10>a,b,c;1/2,1/2,0>12	k	eu	1.0	2	g
238	10>a,b,c;1/2,0,0>12	k	eu	1.0	2	h
239	10>a,b,-a+c;1/2,1/2,0>12	k	eu	1.0	2	i
240	10>a,b,-a+c;1/2,0,0>12	k	eu	1.0	2	j
241	10>a,b,c;0,1/2,0>12	k	eu	1.0	2	k
242	10>a,b,c>12	k	eu	1.0	2	l
243	10>a-c,b,c;0,0,1/2>13	k	eu	1.0	2	a
244	10>a-c,b,c>13	k	eu	1.0	2	b
245	10>-a-c,b,a;1/2,0,0>13	k	eu	1.0	2	c
246	10>-a-c,b,a>13	k	eu	1.0	2	d
247	10>a,b,c;0,0,1/2>13	k	eu	1.0	2	e
248	10>a,b,c>13	k	eu	1.0	2	f
249	11>a,b,c>2	t		1.0	2	a
250	11>a,b,c>4	t		1.0	2	a
251	11>a,b,c;0,1/4,0>6	t		1.0	2	a
252	11>a-c,b,c;0,0,1/2>11	k	eu	1.0	2	a
253	11>a-c,b,c>11	k	eu	1.0	2	b
254	11>a,b,c;1/2,0,0>11	k	eu	1.0	2	c
255	11>a,b,c>11	k	eu	1.0	2	d
256	11>a,b,c;0,0,1/2>11	k	eu	1.0	2	e
257	11>a,b,c>11	k	eu	1.0	2	f
258	11>a,b,c>11	k	eu	1.0	3	a
259	11>a,b,c;1,0,0>11	k	eu	1.0	3	a
260	11>a,b,c;2,0,0>11	k	eu	1.0	3	a
261	11>a-c,b,c>11	k	eu	1.0	3	b
262	11>a-c,b,c;0,0,1>11	k	eu	1.0	3	b
263	11>a-c,b,c;0,0,2>11	k	eu	1.0	3	b
264	11>a-c,b,c>11	k	eu	1.0	3	c
265	11>a-c,b,c;0,0,1>11	k	eu	1.0	3	c
266	11>a-c,b,c;0,0,2>11	k	eu	1.0	3	c
267	11>a,b,c>11	k	eu	1.0	3	d
268	11>a,b,c;0,0,1>11	k	eu	1.0	3	d
269	11>a,b,c;0,0,2>11	k	eu	1.0	3	d
270	11>a,b,c>11	k	eu	1.0	3	e
271	11>a,b,c;0,1,0>11	k	eu	1.0	3	e
272	11>a,b,c;0,2,0>11	k	eu	1.0	3	e
273	11>a-c,b,c;0,0,1/2>14	k	eu	1.0	2	a
274	11>a-c,b,c>14	k	eu	1.0	2	b
275	11>-a-c,b,a;1/2,0,0>14	k	eu	1.0	2	c
276	11>-a-c,b,a>14	k	eu	1.0	2	d
277	11>a,b,c;0,0,1/2>14	k	eu	1.0	2	e
278	11>a,b,c>14	k	eu	1.0	2	f
279	12>1/2a-1/2b,1/2a+1/2b,c>2	t		0.5	2	a
280	12>a,b,c>5	t		1.0	2	a
281	12>a,b,c>8	t		1.0	2	a
282	12>a,b,c>10	k	ct	1.0	2	a
283	12>c,b,-a;1/4,1/4,0>11	k	ct	1.0	2	a
284	12>a-c,b,c;0,0,1/2>12	k	eu	1.0	2	a
285	12>a-c,b,c>12	k	eu	1.0	2	b
286	12>a,b,c;0,0,1/2>12	k	eu	1.0	2	c
287	12>a,b,c>12	k	eu	1.0	2	d
288	12>a,b,c>12	k	eu	1.0	3	a
289	12>a,b,c;1,0,0>12	k	eu	1.0	3	a
290	12>a,b,c;2,0,0>12	k	eu	1.0	3	a
291	12>a-c,b,c>12	k	eu	1.0	3	b
292	12>a-c,b,c;0,0,1>12	k	eu	1.0	3	b
293	12>a-c,b,c;0,0,2>12	k	eu	1.0	3	b
294	12>a-c,b,c>12	k	eu	1.0	3	c
295	12>a-c,b,c;0,0,1>12	k	eu	1.0	3	c
296	12>a-c,b,c;0,0,2>12	k	eu	1.0	3	c
297	12>a,b,c>12	k	eu	1.0	3	d
298	12>a,b,c;0,0,1>12	k	eu	1.0	3	d
299	12>a,b,c;0,0,2>12	k	eu	1.0	3	d
300	12>a,b,c>12	k	eu	1.0	3	e
301	12>a,b,c;0,1,0>12	k	eu	1.0	3	e
302	12>a,b,c;0,2,0>12	k	eu	1.0	3	e
303	12>c,b,-a;1/4,1/4,0>13	k	ct	1.0	2	a
304	12>c,b,-a>14	k	ct	1.0	2	a
305	12>a-c,b,c;0,0,1/2>15	k	eu	1.0	2	a
306	12>a-c,b,c>15	k	eu	1.0	2	b
307	12>a,b,c;0,0,1/2>15	k	eu	1.0	2	c
308	12>a,b,c>15	k	eu	1.0	2	d
309	13>a,b,c>2	t		1.0	2	a
310	13>a,b,c;0,0,1/4>3	t		1.0	2	a
311	13>a,b,c>7	t		1.0	2	a
312	13>a,b,-a+c;1/2,0,0>13	k	eu	1.0	2	a
313	13>a,b,-a+c>13	k	eu	1.0	2	b
314	13>a,b,c;1/2,0,0>13	k	eu	1.0	2	c
315	13>a,b,c>13	k	eu	1.0	2	d
316	13>a,b,c;0,1/2,0>13	k	eu	1.0	2	e
317	13>a,b,c>13	k	eu	1.0	2	f
318	13>a,b,-a+c>13	k	eu	1.0	3	a
319	13>a,b,-a+c;1,0,0>13	k	eu	1.0	3	a
320	13>a,b,-a+c;2,0,0>13	k	eu	1.0	3	a
321	13>a,b,-a+c>13	k	eu	1.0	3	b
322	13>a,b,-a+c;1,0,0>13	k	eu	1.0	3	b
323	13>a,b,-a+c;2,0,0>13	k	eu	1.0	3	b
324	13>a,b,c>13	k	eu	1.0	3	c
325	13>a,b,c;1,0,0>13	k	eu	1.0	3	c
326	13>a,b,c;2,0,0>13	k	eu	1.0	3	c
327	13>a,b,c>13	k	eu	1.0	3	d
328	13>a,b,c;0,0,1>13	k	eu	1.0	3	d
329	13>a,b,c;0,0,2>13	k	eu	1.0	3	d
330	13>a,b,c>13	k	eu	1.0	3	e
331	13>a,b,c;0,1,0>13	k	eu	1.0	3	e
332	13>a,b,c;0,2,0>13	k	eu	1.0	3	e
333	13>a,b,c;0,1/2,0>14	k	eu	1.0	2	a
334	13>a,b,c>14	k	eu	1.0	2	b
335	13>a,b,c;1/2,1/2,0>15	k	eu	1.0	2	a
336	13>a,b,c;1/2,0,0>15	k	eu	1.0	2	b
337	13>a,b,c;0,1/2,0>15	k	eu	1.0	2	c
338	13>a,b,c>15	k	eu	1.0	2	d
339	14>a,b,c>2	t		1.0	2	a
340	14>a,b,c;0,0,1/4>4	t		1.0	2	a
341	14>a,b,c;0,1/4,0>7	t		1.0	2	a
342	14>a,b,-a+c;1/2,0,0>14	k	eu	1.0	2	a
343	14>a,b,-a+c>14	k	eu	1.0	2	b
344	14>a,b,c;1/2,0,0>14	k	eu	1.0	2	c
345	14>a,b,c>14	k	eu	1.0	2	d
346	14>a,b,-a+c>14	k	eu	1.0	3	a
347	14>a,b,-a+c;1,0,0>14	k	eu	1.0	3	a
348	14>a,b,-a+c;2,0,0>14	k	eu	1.0	3	a
349	14>a,b,-a+c>14	k	eu	1.0	3	b
350	14>a,b,-a+c;1,0,0>14	k	eu	1.0	3	b
351	14>a,b,-a+c;2,0,0>14	k	eu	1.0	3	b
352	14>a,b,c>14	k	eu	1.0	3	c
353	14>a,b,c;1,0,0>14	k	eu	1.0	3	c
354	14>a,b,c;2,0,0>14	k	eu	1.0	3	c
355	14>a,b,c>14	k	eu	1.0	3	d
356	14>a,b,c;0,0,1>14	k	eu	1.0	3	d
357	14>a,b,c;0,0,2>14	k	eu	1.0	3	d
358	14>a,b,c>14	k	eu	1.0	3	e
359	14>a,b,c;0,1,0>14	k	eu	1.0	3	e
360	14>a,b,c;0,2,0>14	k	eu	1.0	3	e
361	15>1/2a-1/2b,1/2a+1/2b,c>2	t		0.5	2	a
362	15>a,b,c;0,0,1/4>5	t		1.0	2	a
363	15>a,b,c>9	t		1.0	2	a
364	15>c,b,-a-c;1/4,1/4,0>13	k	ct	1.0	2	a
365	15>a,b,c>13	k	ct	1.0	2	b
366	15>a,b,c;1/4,1/4,0>14	k	ct	1.0	2	a
367	15>c,b,-a-c>14	k	ct	1.0	2	b
368	15>a,b,c>15	k	eu	1.0	3	a
369	15>a,b,c;1,0,0>15	k	eu	1.0	3	a
370	15>a,b,c;2,0,0>15	k	eu	1.0	3	a
371	15>a-c,b,c>15	k	eu	1.0	3	b
372	15>a-c,b,c;0,0,1>15	k	eu	1.0	3	b
373	15>a-c,b,c;0,0,2>15	k	eu	1.0	3	b
374	15>a-c,b,c>15	k	eu	1.0	3	c
375	15>a-c,b,c;0,0,1>15	k	eu	1.0	3	c
376	15>a-c,b,c;0,0,2>15	k	eu	1.0	3	c
377	15>a,b,c>15	k	eu	1.0	3	d
378	15>a,b,c;0,0,1>15	k	eu	1.0	3	d
379	15>a,b,c;0,0,2>15	k	eu	1.0	3	d
380	15>a,b,c>15	k	eu	1.0	3	e
381	15>a,b,c;0,1,0>15	k	eu	1.0	3	e
382	15>a,b,c;0,2,0>15	k	eu	1.0	3	e
383	16>c,a,b>3	t		1.0	2	a
384	16>a,b,c>3	t		1.0	2	b
385	16>b,c,a>3	t		1.0	2	c
386	16>a,b,c;0,0,1/2>16	k	eu	1.0	2	a
387	16>a,b,c>16	k	eu	1.0	2	b
388	16>a,b,c;0,1/2,0>16	k	eu	1.0	2	c
389	16>a,b,c>16	k	eu	1.0	2	d
390	16>a,b,c;1/2,0,0>16	k	eu	1.0	2	e
391	16>a,b,c>16	k	eu	1.0	2	f
392	16>a,b,c>16	k	eu	1.0	3	a
393	16>a,b,c;0,0,1>16	k	eu	1.0	3	a
394	16>a,b,c;0,0,2>16	k	eu	1.0	3	a
395	16>a,b,c>16	k	eu	1.0	3	b
396	16>a,b,c;0,1,0>16	k	eu	1.0	3	b
397	16>a,b,c;0,2,0>16	k	eu	1.0	3	b
398	16>a,b,c>16	k	eu	1.0	3	c
399	16>a,b,c;1,0,0>16	k	eu	1.0	3	c
400	16>a,b,c;2,0,0>16	k	eu	1.0	3	c
401	16>a,b,c>17	k	eu	1.0	2	a
402	16>a,b,c;0,0,1/2>17	k	eu	1.0	2	b
403	16>c,a,b;0,1/2,0>17	k	eu	1.0	2	c
404	16>c,a,b>17	k	eu	1.0	2	d
405	16>b,c,a;1/2,0,0>17	k	eu	1.0	2	e
406	16>b,c,a>17	k	eu	1.0	2	f
407	16>a,b,c;1/2,0,0>21	k	eu	1.0	2	a
408	16>a,b,c>21	k	eu	1.0	2	b
409	16>c,a,b;1/2,0,1/2>21	k	eu	1.0	2	c
410	16>c,a,b;1/2,0,0>21	k	eu	1.0	2	d
411	16>c,a,b;0,0,1/2>21	k	eu	1.0	2	e
412	16>c,a,b>21	k	eu	1.0	2	f
413	16>b,c,a;0,1/2,1/2>21	k	eu	1.0	2	g
414	16>b,c,a;0,0,1/2>21	k	eu	1.0	2	h
415	16>a,b,c;1/2,1/2,0>21	k	eu	1.0	2	i
416	16>a,b,c;0,1/2,0>21	k	eu	1.0	2	j
417	16>b,c,a;0,1/2,0>21	k	eu	1.0	2	k
418	16>b,c,a>21	k	eu	1.0	2	l
419	16>a,b,c;1/2,0,0>22	k	eu	1.0	2	a
420	16>a,b,c;0,0,1/2>22	k	eu	1.0	2	b
421	16>a,b,c;0,1/2,0>22	k	eu	1.0	2	c
422	16>a,b,c>22	k	eu	1.0	2	d
423	17>c,a,b>3	t		1.0	2	a
424	17>a,b,c;0,0,1/4>3	t		1.0	2	b
425	17>b,c,a>4	t		1.0	2	a
426	17>a,b,c;0,1/2,0>17	k	eu	1.0	2	a
427	17>a,b,c>17	k	eu	1.0	2	b
428	17>a,b,c;1/2,0,0>17	k	eu	1.0	2	c
429	17>a,b,c>17	k	eu	1.0	2	d
430	17>a,b,c>17	k	eu	1.0	3	a
431	17>a,b,c;0,0,1>17	k	eu	1.0	3	a
432	17>a,b,c;0,0,2>17	k	eu	1.0	3	a
433	17>a,b,c>17	k	eu	1.0	3	b
434	17>a,b,c;0,1,0>17	k	eu	1.0	3	b
435	17>a,b,c;0,2,0>17	k	eu	1.0	3	b
436	17>a,b,c>17	k	eu	1.0	3	c
437	17>a,b,c;1,0,0>17	k	eu	1.0	3	c
438	17>a,b,c;2,0,0>17	k	eu	1.0	3	c
439	17>b,c,a>18	k	eu	1.0	2	a
440	17>b,c,a;0,1/2,0>18	k	eu	1.0	2	b
441	17>c,a,b;0,0,1/4>18	k	eu	1.0	2	c
442	17>c,a,b;1/2,0,1/4>18	k	eu	1.0	2	d
443	17>a,b,c;1/2,1/2,0>20	k	eu	1.0	2	a
444	17>a,b,c;0,1/2,0>20	k	eu	1.0	2	b
445	17>a,b,c;1/2,0,0>20	k	eu	1.0	2	c
446	17>a,b,c>20	k	eu	1.0	2	d
447	18>b,c,a>3	t		1.0	2	a
448	18>c,a,b;0,1/4,0>4	t		1.0	2	a
449	18>a,b,c;1/4,0,0>4	t		1.0	2	b
450	18>a,b,c;0,0,1/2>18	k	eu	1.0	2	a
451	18>a,b,c>18	k	eu	1.0	2	b
452	18>a,b,c>18	k	eu	1.0	3	a
453	18>a,b,c;0,0,1>18	k	eu	1.0	3	a
454	18>a,b,c;0,0,2>18	k	eu	1.0	3	a
455	18>a,b,c>18	k	eu	1.0	3	b
456	18>a,b,c;0,1,0>18	k	eu	1.0	3	b
457	18>a,b,c;0,2,0>18	k	eu	1.0	3	b
458	18>a,b,c>18	k	eu	1.0	3	c
459	18>a,b,c;1,0,0>18	k	eu	1.0	3	c
460	18>a,b,c;2,0,0>18	k	eu	1.0	3	c
461	18>a,b,c;1/4,0,0>19	k	eu	1.0	2	a
462	18>a,b,c;1/4,0,1/2>19	k	eu	1.0	2	b
463	19>c,a,b;0,1/4,0>4	t		1.0	2	a
464	19>a,b,c;0,0,1/4>4	t		1.0	2	b
465	19>b,c,a;1/4,0,0>4	t		1.0	2	c
466	19>a,b,c>19	k	eu	1.0	3	a
467	19>a,b,c;0,0,1>19	k	eu	1.0	3	a
468	19>a,b,c;0,0,2>19	k	eu	1.0	3	a
469	19>a,b,c>19	k	eu	1.0	3	b
470	19>a,b,c;0,1,0>19	k	eu	1.0	3	b
471	19>a,b,c;0,2,0>19	k	eu	1.0	3	b
472	19>a,b,c>19	k	eu	1.0	3	c
473	19>a,b,c;1,0,0>19	k	eu	1.0	3	c
