sg	set	trm	hm	xyz
7	4	c,a,b	P 1 1 a	x,y,z;x+1/2,y,-z
7	5	a,-a-c,b	P 1 1 n	x,y,z;x-1/2,y-1/2,-z
7	6	-a-c,c,b	P 1 1 b	x,y,z;x,y+1/2,-z
7	7	b,c,a	P b 1 1	x,y,z;-x,y+1/2,z
7	8	b,a,-a-c	P n 1 1	x,y,z;-x,y-1/2,z-1/2
7	9	b,-a-c,c	P c 1 1	x,y,z;-x,y,z+1/2
8	1	a,b,c	C 1 m 1	x,y,z;x,-y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,z
8	2	-a-c,b,a	A 1 m 1	x,y,z;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,z+1/2
8	3	c,b,-a-c	I 1 m 1	x,y,z;x,-y,z;x-1/2,y+1/2,z-1/2;x-1/2,-y+1/2,z-1/2
8	4	c,a,b	A 1 1 m	x,y,z;x,y,-z;x,y+1/2,z+1/2;x,y+1/2,-z+1/2
8	5	a,-a-c,b	B 1 1 m	x,y,z;x,y,-z;x+1/2,y,z+1/2;x+1/2,y,-z+1/2
8	6	-a-c,c,b	I 1 1 m	x,y,z;x,y,-z;x-1/2,y-1/2,z+1/2;x-1/2,y-1/2,-z+1/2
8	7	b,c,a	B m 1 1	x,y,z;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y,z+1/2
8	8	b,a,-a-c	C m 1 1	x,y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,z
8	9	b,-a-c,c	I m 1 1	x,y,z;-x,y,z;x+1/2,y-1/2,z-1/2;-x+1/2,y-1/2,z-1/2
9	1	a,b,c	C 1 c 1	x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
9	2	-a-c,b,a	A 1 n 1	x,y,z;x-1/2,-y,z-1/2;x,y+1/2,z+1/2;x-1/2,-y+1/2,z
9	3	c,b,-a-c	I 1 a 1	x,y,z;x+1/2,-y,z;x-1/2,y+1/2,z-1/2;x,-y+1/2,z-1/2
9	4	c,-b,a	A 1 a 1	x,y,z;x+1/2,-y,z;x,y-1/2,z+1/2;x+1/2,-y-1/2,z+1/2
9	5	a,-b,-a-c	C 1 n 1	x,y,z;x-1/2,-y,z-1/2;x+1/2,y-1/2,z;x,-y-1/2,z-1/2
9	6	-a-c,-b,c	I 1 c 1	x,y,z;x,-y,z+1/2;x-1/2,y-1/2,z-1/2;x-1/2,-y-1/2,z
9	7	c,a,b	A 1 1 a	x,y,z;x+1/2,y,-z;x,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
9	8	a,-a-c,b	B 1 1 n	x,y,z;x-1/2,y-1/2,-z;x+1/2,y,z+1/2;x,y-1/2,-z+1/2
9	9	-a-c,c,b	I 1 1 b	x,y,z;x,y+1/2,-z;x-1/2,y-1/2,z+1/2;x-1/2,y,-z+1/2
9	10	a,c,-b	B 1 1 b	x,y,z;x,y+1/2,-z;x+1/2,y,z-1/2;x+1/2,y+1/2,-z-1/2
9	11	-a-c,a,-b	A 1 1 n	x,y,z;x-1/2,y-1/2,-z;x,y+1/2,z-1/2;x-1/2,y,-z-1/2
9	12	c,-a-c,-b	I 1 1 a	x,y,z;x+1/2,y,-z;x-1/2,y-1/2,z-1/2;x,y-1/2,-z-1/2
9	13	b,c,a	B b 1 1	x,y,z;-x,y+1/2,z;x+1/2,y,z+1/2;-x+1/2,y+1/2,z+1/2
9	14	b,a,-a-c	C n 1 1	x,y,z;-x,y-1/2,z-1/2;x+1/2,y+1/2,z;-x+1/2,y,z-1/2
9	15	b,-a-c,c	I c 1 1	x,y,z;-x,y,z+1/2;x+1/2,y-1/2,z-1/2;-x+1/2,y-1/2,z
9	16	-b,a,c	C c 1 1	x,y,z;-x,y,z+1/2;x-1/2,y+1/2,z;-x-1/2,y+1/2,z+1/2
9	17	-b,-a-c,a	B n 1 1	x,y,z;-x,y-1/2,z-1/2;x-1/2,y,z+1/2;-x-1/2,y-1/2,z
9	18	-b,c,-a-c	I b 1 1	x,y,z;-x,y+1/2,z;x-1/2,y-1/2,z-1/2;-x-1/2,y,z-1/2
10	1	a,b,c	P 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z
10	2	c,a,b	P 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z
10	3	b,c,a	P 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z
11	1	a,b,c	P 1 21/m 1	x,y,z;-x,y+1/2,-z;-x,-y,-z;x,-y+1/2,z
11	2	c,a,b	P 1 1 21/m	x,y,z;-x,-y,z+1/2;-x,-y,-z;x,y,-z+1/2
11	3	b,c,a	P 21/m 1 1	x,y,z;x+1/2,-y,-z;-x,-y,-z;-x+1/2,y,z
12	1	a,b,c	C 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z
12	2	-a-c,b,a	A 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x,y+1/2,z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,-y+1/2,z+1/2
12	3	c,b,-a-c	I 1 2/m 1	x,y,z;-x,y,-z;-x,-y,-z;x,-y,z;x-1/2,y+1/2,z-1/2;-x-1/2,y+1/2,-z-1/2;-x-1/2,-y+1/2,-z-1/2;x-1/2,-y+1/2,z-1/2
12	4	c,a,b	A 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2
12	5	a,-a-c,b	B 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2
12	6	-a-c,c,b	I 1 1 2/m	x,y,z;-x,-y,z;-x,-y,-z;x,y,-z;x-1/2,y-1/2,z+1/2;-x-1/2,-y-1/2,z+1/2;-x-1/2,-y-1/2,-z+1/2;x-1/2,y-1/2,-z+1/2
12	7	b,c,a	B 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y,z+1/2
12	8	b,a,-a-c	C 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z;-x+1/2,y+1/2,z
12	9	b,-a-c,c	I 2/m 1 1	x,y,z;x,-y,-z;-x,-y,-z;-x,y,z;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z-1/2;-x+1/2,-y-1/2,-z-1/2;-x+1/2,y-1/2,z-1/2
13	1	a,b,c	P 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2
13	2	-a-c,b,a	P 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2
13	3	c,b,-a-c	P 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z
13	4	c,a,b	P 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z
13	5	a,-a-c,b	P 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z
13	6	-a-c,c,b	P 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z
13	7	b,c,a	P 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z
13	8	b,a,-a-c	P 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2
13	9	b,-a-c,c	P 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2
14	1	a,b,c	P 1 21/c 1	x,y,z;-x,y+1/2,-z+1/2;-x,-y,-z;x,-y+1/2,z+1/2
14	2	-a-c,b,a	P 1 21/n 1	x,y,z;-x-1/2,y+1/2,-z-1/2;-x,-y,-z;x-1/2,-y+1/2,z-1/2
14	3	c,b,-a-c	P 1 21/a 1	x,y,z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,-y+1/2,z
14	4	c,a,b	P 1 1 21/a	x,y,z;-x+1/2,-y,z+1/2;-x,-y,-z;x+1/2,y,-z+1/2
14	5	a,-a-c,b	P 1 1 21/n	x,y,z;-x-1/2,-y-1/2,z+1/2;-x,-y,-z;x-1/2,y-1/2,-z+1/2
14	6	-a-c,c,b	P 1 1 21/b	x,y,z;-x,-y+1/2,z+1/2;-x,-y,-z;x,y+1/2,-z+1/2
14	7	b,c,a	P 21/b 1 1	x,y,z;x+1/2,-y+1/2,-z;-x,-y,-z;-x+1/2,y+1/2,z
14	8	b,a,-a-c	P 21/n 1 1	x,y,z;x+1/2,-y-1/2,-z-1/2;-x,-y,-z;-x+1/2,y-1/2,z-1/2
14	9	b,-a-c,c	P 21/c 1 1	x,y,z;x+1/2,-y,-z+1/2;-x,-y,-z;-x+1/2,y,z+1/2
15	1	a,b,c	C 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,-y+1/2,z+1/2
15	2	-a-c,b,a	A 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2;x,y+1/2,z+1/2;-x-1/2,y+1/2,-z;-x,-y+1/2,-z+1/2;x-1/2,-y+1/2,z
15	3	c,b,-a-c	I 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x-1/2,y+1/2,z-1/2;-x,y+1/2,-z-1/2;-x-1/2,-y+1/2,-z-1/2;x,-y+1/2,z-1/2
15	4	c,-b,a	A 1 2/a 1	x,y,z;-x+1/2,y,-z;-x,-y,-z;x+1/2,-y,z;x,y-1/2,z+1/2;-x+1/2,y-1/2,-z+1/2;-x,-y-1/2,-z+1/2;x+1/2,-y-1/2,z+1/2
15	5	a,-b,-a-c	C 1 2/n 1	x,y,z;-x-1/2,y,-z-1/2;-x,-y,-z;x-1/2,-y,z-1/2;x+1/2,y-1/2,z;-x,y-1/2,-z-1/2;-x+1/2,-y-1/2,-z;x,-y-1/2,z-1/2
15	6	-a-c,-b,c	I 1 2/c 1	x,y,z;-x,y,-z+1/2;-x,-y,-z;x,-y,z+1/2;x-1/2,y-1/2,z-1/2;-x-1/2,y-1/2,-z;-x-1/2,-y-1/2,-z-1/2;x-1/2,-y-1/2,z
15	7	c,a,b	A 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2
15	8	a,-a-c,b	B 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z;x+1/2,y,z+1/2;-x,-y-1/2,z+1/2;-x+1/2,-y,-z+1/2;x,y-1/2,-z+1/2
15	9	-a-c,c,b	I 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x-1/2,y-1/2,z+1/2;-x-1/2,-y,z+1/2;-x-1/2,-y-1/2,-z+1/2;x-1/2,y,-z+1/2
15	10	a,c,-b	B 1 1 2/b	x,y,z;-x,-y+1/2,z;-x,-y,-z;x,y+1/2,-z;x+1/2,y,z-1/2;-x+1/2,-y+1/2,z-1/2;-x+1/2,-y,-z-1/2;x+1/2,y+1/2,-z-1/2
15	11	-a-c,a,-b	A 1 1 2/n	x,y,z;-x-1/2,-y-1/2,z;-x,-y,-z;x-1/2,y-1/2,-z;x,y+1/2,z-1/2;-x-1/2,-y,z-1/2;-x,-y+1/2,-z-1/2;x-1/2,y,-z-1/2
15	12	c,-a-c,-b	I 1 1 2/a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x-1/2,y-1/2,z-1/2;-x,-y-1/2,z-1/2;-x-1/2,-y-1/2,-z-1/2;x,y-1/2,-z-1/2
15	13	b,c,a	B 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y+1/2,z+1/2
15	14	b,a,-a-c	C 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2;x+1/2,y+1/2,z;x+1/2,-y,-z-1/2;-x+1/2,-y+1/2,-z;-x+1/2,y,z-1/2
15	15	b,-a-c,c	I 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x+1/2,y-1/2,z-1/2;x+1/2,-y-1/2,-z;-x+1/2,-y-1/2,-z-1/2;-x+1/2,y-1/2,z
15	16	-b,a,c	C 2/c 1 1	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x-1/2,y+1/2,z;x-1/2,-y+1/2,-z+1/2;-x-1/2,-y+1/2,-z;-x-1/2,y+1/2,z+1/2
15	17	-b,-a-c,a	B 2/n 1 1	x,y,z;x,-y-1/2,-z-1/2;-x,-y,-z;-x,y-1/2,z-1/2;x-1/2,y,z+1/2;x-1/2,-y-1/2,-z;-x-1/2,-y,-z+1/2;-x-1/2,y-1/2,z
15	18	-b,c,-a-c	I 2/b 1 1	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x-1/2,y-1/2,z-1/2;x-1/2,-y,-z-1/2;-x-1/2,-y-1/2,-z-1/2;-x-1/2,y,z-1/2
16	1	a,b,c	P 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z
17	1	a,b,c	P 2 2 21	x,y,z;-x,-y,z+1/2;-x,y,-z+1/2;x,-y,-z
17	2	c,a,b	P 21 2 2	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z;-x,y,-z
17	3	b,c,a	P 2 21 2	x,y,z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,z
18	1	a,b,c	P 21 21 2	x,y,z;-x,-y,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
18	2	c,a,b	P 2 21 21	x,y,z;x,-y,-z;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
18	3	b,c,a	P 21 2 21	x,y,z;-x,y,-z;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2
19	1	a,b,c	P 21 21 21	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z
20	1	a,b,c	C 2 2 21	x,y,z;-x,-y,z+1/2;-x,y,-z+1/2;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z
20	2	c,a,b	A 21 2 2	x,y,z;x+1/2,-y,-z;-x+1/2,-y,z;-x,y,-z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
20	3	b,c,a	B 2 21 2	x,y,z;-x,y+1/2,-z;x,-y+1/2,-z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,z+1/2
21	1	a,b,c	C 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
21	2	c,a,b	A 2 2 2	x,y,z;x,-y,-z;-x,-y,z;-x,y,-z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2
21	3	b,c,a	B 2 2 2	x,y,z;-x,y,-z;x,-y,-z;-x,-y,z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y,z+1/2
22	1	a,b,c	F 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x,y+1/2,-z+1/2;x,-y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,y,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;-x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z
23	1	a,b,c	I 2 2 2	x,y,z;-x,-y,z;-x,y,-z;x,-y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,-z+1/2
24	1	a,b,c	I 21 21 21	x,y,z;-x+1/2,-y,z+1/2;-x,y+1/2,-z+1/2;x+1/2,-y+1/2,-z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z;-x+1/2,y,-z;x,-y,-z+1/2
25	1	a,b,c	P m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z
25	2	c,a,b	P 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z
25	3	b,c,a	P m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z
26	1	a,b,c	P m c 21	x,y,z;-x,-y,z+1/2;x,-y,z+1/2;-x,y,z
26	2	b,a,-c	P c m 21	x,y,z;-x,-y,z-1/2;-x,y,z-1/2;x,-y,z
26	3	c,a,b	P 21 m a	x,y,z;x+1/2,-y,-z;x+1/2,y,-z;x,-y,z
26	4	-c,b,a	P 21 a m	x,y,z;x-1/2,-y,-z;x-1/2,-y,z;x,y,-z
26	5	b,c,a	P b 21 m	x,y,z;-x,y+1/2,-z;-x,y+1/2,z;x,y,-z
26	6	a,-c,b	P m 21 b	x,y,z;-x,y-1/2,-z;x,y-1/2,-z;-x,y,z
27	1	a,b,c	P c c 2	x,y,z;-x,-y,z;x,-y,z+1/2;-x,y,z+1/2
27	2	c,a,b	P 2 a a	x,y,z;x,-y,-z;x+1/2,y,-z;x+1/2,-y,z
27	3	b,c,a	P b 2 b	x,y,z;-x,y,-z;-x,y+1/2,z;x,y+1/2,-z
28	1	a,b,c	P m a 2	x,y,z;-x,-y,z;x+1/2,-y,z;-x+1/2,y,z
28	2	b,a,-c	P b m 2	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z
28	3	c,a,b	P 2 m b	x,y,z;x,-y,-z;x,y+1/2,-z;x,-y+1/2,z
28	4	-c,b,a	P 2 c m	x,y,z;x,-y,-z;x,-y,z+1/2;x,y,-z+1/2
28	5	b,c,a	P c 2 m	x,y,z;-x,y,-z;-x,y,z+1/2;x,y,-z+1/2
28	6	a,-c,b	P m 2 a	x,y,z;-x,y,-z;x+1/2,y,-z;-x+1/2,y,z
29	1	a,b,c	P c a 21	x,y,z;-x,-y,z+1/2;x+1/2,-y,z;-x+1/2,y,z+1/2
29	2	b,a,-c	P b c 21	x,y,z;-x,-y,z-1/2;-x,y+1/2,z;x,-y+1/2,z-1/2
29	3	c,a,b	P 21 a b	x,y,z;x+1/2,-y,-z;x,y+1/2,-z;x+1/2,-y+1/2,z
29	4	-c,b,a	P 21 c a	x,y,z;x-1/2,-y,-z;x,-y,z+1/2;x-1/2,y,-z+1/2
29	5	b,c,a	P c 21 b	x,y,z;-x,y+1/2,-z;-x,y,z+1/2;x,y+1/2,-z+1/2
29	6	a,-c,b	P b 21 a	x,y,z;-x,y-1/2,-z;x+1/2,y,-z;-x+1/2,y-1/2,z
30	1	a,b,c	P n c 2	x,y,z;-x,-y,z;x,-y+1/2,z+1/2;-x,y+1/2,z+1/2
30	2	b,a,-c	P c n 2	x,y,z;-x,-y,z;-x+1/2,y,z-1/2;x+1/2,-y,z-1/2
30	3	c,a,b	P 2 n a	x,y,z;x,-y,-z;x+1/2,y,-z+1/2;x+1/2,-y,z+1/2
30	4	-c,b,a	P 2 a n	x,y,z;x,-y,-z;x-1/2,-y+1/2,z;x-1/2,y+1/2,-z
30	5	b,c,a	P b 2 n	x,y,z;-x,y,-z;-x+1/2,y+1/2,z;x+1/2,y+1/2,-z
30	6	a,-c,b	P n 2 b	x,y,z;-x,y,-z;x,y-1/2,-z+1/2;-x,y-1/2,z+1/2
31	1	a,b,c	P m n 21	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,z+1/2;-x,y,z
31	2	b,a,-c	P n m 21	x,y,z;-x,-y+1/2,z-1/2;-x,y+1/2,z-1/2;x,-y,z
31	3	c,a,b	P 21 m n	x,y,z;x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;x,-y,z
31	4	-c,b,a	P 21 n m	x,y,z;x-1/2,-y,-z+1/2;x-1/2,-y,z+1/2;x,y,-z
31	5	b,c,a	P n 21 m	x,y,z;-x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,y,-z
31	6	a,-c,b	P m 21 n	x,y,z;-x+1/2,y-1/2,-z;x+1/2,y-1/2,-z;-x,y,z
32	1	a,b,c	P b a 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
32	2	c,a,b	P 2 c b	x,y,z;x,-y,-z;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
32	3	b,c,a	P c 2 a	x,y,z;-x,y,-z;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
33	1	a,b,c	P n a 21	x,y,z;-x,-y,z+1/2;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z+1/2
33	2	b,a,-c	P b n 21	x,y,z;-x,-y,z-1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z-1/2
33	3	c,a,b	P 21 n b	x,y,z;x+1/2,-y,-z;x,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
33	4	-c,b,a	P 21 c n	x,y,z;x-1/2,-y,-z;x,-y+1/2,z+1/2;x-1/2,y+1/2,-z+1/2
33	5	b,c,a	P c 21 n	x,y,z;-x,y+1/2,-z;-x+1/2,y,z+1/2;x+1/2,y+1/2,-z+1/2
33	6	a,-c,b	P n 21 a	x,y,z;-x,y-1/2,-z;x+1/2,y,-z+1/2;-x+1/2,y-1/2,z+1/2
34	1	a,b,c	P n n 2	x,y,z;-x,-y,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
34	2	c,a,b	P 2 n n	x,y,z;x,-y,-z;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
34	3	b,c,a	P n 2 n	x,y,z;-x,y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,y+1/2,-z+1/2
35	1	a,b,c	C m m 2	x,y,z;-x,-y,z;x,-y,z;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z;-x+1/2,y+1/2,z
35	2	c,a,b	A 2 m m	x,y,z;x,-y,-z;x,y,-z;x,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;x,-y+1/2,z+1/2
35	3	b,c,a	B m 2 m	x,y,z;-x,y,-z;-x,y,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,y,-z+1/2
36	1	a,b,c	C m c 21	x,y,z;-x,-y,z+1/2;x,-y,z+1/2;-x,y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z
36	2	b,a,-c	C c m 21	x,y,z;-x,-y,z-1/2;-x,y,z-1/2;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z-1/2;-x+1/2,y+1/2,z-1/2;x+1/2,-y+1/2,z
36	3	c,a,b	A 21 m a	x,y,z;x+1/2,-y,-z;x+1/2,y,-z;x,-y,z;x,y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x,-y+1/2,z+1/2
36	4	-c,b,a	A 21 a m	x,y,z;x-1/2,-y,-z;x-1/2,-y,z;x,y,-z;x,y+1/2,z+1/2;x-1/2,-y+1/2,-z+1/2;x-1/2,-y+1/2,z+1/2;x,y+1/2,-z+1/2
36	5	b,c,a	B b 21 m	x,y,z;-x,y+1/2,-z;-x,y+1/2,z;x,y,-z;x+1/2,y,z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,y,-z+1/2
36	6	a,-c,b	B m 21 b	x,y,z;-x,y-1/2,-z;x,y-1/2,-z;-x,y,z;x+1/2,y,z+1/2;-x+1/2,y-1/2,-z+1/2;x+1/2,y-1/2,-z+1/2;-x+1/2,y,z+1/2
37	1	a,b,c	C c c 2	x,y,z;-x,-y,z;x,-y,z+1/2;-x,y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,z+1/2;-x+1/2,y+1/2,z+1/2
37	2	c,a,b	A 2 a a	x,y,z;x,-y,-z;x+1/2,y,-z;x+1/2,-y,z;x,y+1/2,z+1/2;x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;x+1/2,-y+1/2,z+1/2
