1a3w	FBP	1,6-di-O-phosphono-beta-D-fructofuranose
1dva	GAL	beta-D-galactopyranose
1dva	GLC	alpha-D-glucopyranose
1e05	GUP	alpha-L-gulopyranose
1e4i	NFG	2,4-dinitrophenyl 2-deoxy-2-fluoro-beta-D-glucopyranoside
1e6x	LGC	D-glucono-1,5-lactone
1e70	G2F	2-deoxy-2-fluoro-alpha-D-glucopyranose
1e71	ASC	ASCORBIC ACID
1e77	BG6	6-O-phosphono-beta-D-glucopyranose
1e8v	DAN	2-DEOXY-2,3-DEHYDRO-N-ACETYL-NEURAMINIC ACID
1e9l	GCS	2-amino-2-deoxy-beta-D-glucopyranose
1eys	BGL	2-O-octyl-beta-D-glucopyranose
1f8c	4AM	4-AMINO-2-DEOXY-2,3-DEHYDRO-N-ACETYL-NEURAMINIC ACID
1f8d	9AM	9-AMINO-2-DEOXY-2,3-DEHYDRO-N-ACETYL-NEURAMINIC ACID
1f8e	49A	4,9-AMINO-2,4-DEOXY-2,3-DEHYDRO-N-ACETYL-NEURAMINIC ACID
1fbh	AFP	1,6-di-O-phosphono-alpha-D-fructofuranose
1fdj	2FP	1,6-FRUCTOSE DIPHOSPHATE (LINEAR FORM)
1fpb	FDP	2,6-di-O-phosphono-beta-D-fructofuranose
1fq7	KBG	beta-D-arabino-hexopyranos-2-ulose
1fwt	E4P	ERYTHOSE-4-PHOSPHATE
1ga8	Z9D	4-deoxy-beta-D-xylo-hexopyranose
1gac	RER	vancosamine
1gai	RY7	4,6-dideoxy-4-{[(1S,2S,3S,4R,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl]amino}-alpha-D-glucopyranose
1go6	DVC	(2R,4S,6S)-4-azanyl-4,6-dimethyl-oxane-2,5,5-triol
1gqk	BDP	beta-D-glucopyranuronic acid
1gz1	MGL	methyl beta-D-glucopyranoside
1gz1	SGC	4-thio-beta-D-glucopyranose
1hge	MNA	2-O-methyl-5-N-acetyl-alpha-D-neuraminic acid
1hgi	ANA	methyl 4-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
1hgj	AMN	methyl 5-acetamido-9-amino-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
1hh3	ERE	4-epi-vancosamine
1hh3	RAM	alpha-L-rhamnopyranose
1hl9	FUF	2-deoxy-2-fluoro-beta-L-fucopyranose
1ijd	RPA	RHODOPINAL GLUCOSIDE
1inv	EQP	(1R)-4-acetamido-1,5-anhydro-2,4-dideoxy-1-phosphono-D-glycero-D-galacto-octitol
1inw	AXP	(1S)-4-acetamido-1,5-anhydro-2,4-dideoxy-1-phosphono-D-glycero-D-galacto-octitol
1j0n	CEG	4,6-O-[(1S)-1-carboxyethylidene]-beta-D-glucopyranose
1jvi	RHC	(2S)-2-amino-4-[[(2S,3S,4R,5R)-3,4,5-trihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid
1jz2	2FG	2-deoxy-2-fluoro-beta-D-galactopyranose
1kcc	GTR	beta-D-galactopyranuronic acid
1kcd	GTK	beta-D-galactofuranuronic acid
1kwx	MFB	methyl beta-L-fucopyranoside
1l8n	GCW	4-O-methyl-beta-D-glucopyranuronic acid
1loc	MDP	N-carboxyl-N-methyl-beta-muramic acid
1lod	MUR	beta-muramic acid
1lwj	ACG	MODIFIED ACARBOSE PENTASACCHARIDE
1muq	YIO	1-thio-beta-D-galactopyranose
1naa	ABL	(2R,3R,4R,5R)-4,5-dihydroxy-2-(hydroxymethyl)-6-oxopiperidin-3-yl beta-D-glucopyranoside
1nem	BDG	2,6-diamino-2,6-dideoxy-alpha-D-glucopyranose
1nem	IDG	2,6-diamino-2,6-dideoxy-beta-L-idopyranose
1nn2	NGK	2-acetamido-2-deoxy-4-O-sulfo-alpha-D-galactopyranose
1nwg	BGN	2-(butanoylamino)-2-deoxy-beta-D-glucopyranose
1o7a	GDL	2-(acetylamido)-2-deoxy-D-glucono-1,5-lactone
1o8b	ABF	5-O-phosphono-beta-D-arabinofuranose
1oc7	MA3	methyl 4-thio-alpha-D-glucopyranoside
1ocb	GDA	4-amino-4-deoxy-beta-D-glucopyranose
1ocb	GTM	methyl 4-thio-beta-D-glucopyranoside
1ocj	SSG	1,4-dithio-beta-D-glucopyranose
1ofc	G4D	4-deoxy-alpha-D-glucopyranose
1oge	RP5	5-O-phosphono-beta-D-ribofuranose
1ose	AC1	4,6-dideoxy-4-{[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-alpha-D-glucopyranose
1ovp	BDF	beta-D-fructopyranose
1p4j	CBF	(2R,3R,4S,5S,6R)-2,3,4,5-tetrahydroxy-6-(hydroxymethyl)oxane-2-carboxamide
1pik	DAG	4-amino-4,6-dideoxy-beta-D-glucopyranose
1pik	DLF	2-deoxy-alpha-L-fucopyranose
1pik	MAT	2,4-dideoxy-3-O-methyl-4-(propan-2-ylamino)-alpha-L-threo-pentopyranose
1pik	TMR	2,6-dideoxy-4-S-methyl-4-thio-beta-D-ribo-hexopyranose
1pvy	5RP	RIBULOSE-5-PHOSPHATE
1pyy	TRV	6-O-octanoyl-beta-D-fructofuranose
1pz2	AHR	alpha-L-arabinofuranose
1qgl	EJT	1,3-DI(N-PROPYLOXY-A-MANNOPYRANOSYL)-CARBOMYL 5-METHYAZIDO-BENZENE
1qwn	GUL	(2R,3S,4R,5S)-2,6-difluoro-2-(hydroxymethyl)oxane-3,4,5-triol
1qx1	FMF	2-deoxy-2-fluoro-beta-D-mannopyranosyl fluoride
1qxb	BDR	beta-D-ribofuranose
1r33	LKA	5-thio-alpha-D-mannopyranosylamine
1r34	LKS	N-[(1Z)-2-phenylethanimidoyl]-5-thio-alpha-D-mannopyranosylamine
1rcx	RUB	RIBULOSE-1,5-DIPHOSPHATE
1rpj	ALL	beta-D-allopyranose
1rsc	XBP	XYLULOSE-1,5-BISPHOSPHATE
1s2d	V3M	2-deoxy-2-fluoro-alpha-D-arabinofuranose
1sr5	GU8	2,3,6-tri-O-methyl-beta-D-glucopyranose
1sr5	U9D	4-deoxy-2,3,6-tri-O-methyl-alpha-D-xylo-hexopyranose
1sr5	U9G	2,3-di-O-methyl-6-O-sulfo-alpha-D-glucopyranose
1sr5	U9J	(2R,3R,4S,5S,6R)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2H-pyran-2,5-diol
1sr5	U9M	(2R,3R,4S,5S,6S)-6-(dihydroxymethyl)-3,4-dimethoxytetrahydro-2H-pyran-2,5-diol
1sr5	YYB	1,5-anhydro-3-O-methyl-2,6-di-O-sulfo-D-glucitol
1syo	M6P	6-O-phosphono-alpha-D-mannopyranose
1t3i	TU4	3-O-octanoyl-alpha-D-glucopyranose
1tb6	GU0	2,3,6-tri-O-sulfonato-beta-D-glucopyranose
1tb6	GU2	2,3-di-O-methyl-alpha-L-idopyranuronic acid
1tb6	GU3	methyl 3-O-methyl-2,6-di-O-sulfo-alpha-D-glucopyranoside
1tb6	GU5	2,3-di-O-methyl-6-O-sulfonato-alpha-D-glucopyranose
1tb6	GU9	2,3,6-tri-O-methyl-alpha-D-glucopyranose
1tjy	PAV	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran
1tob	TOA	3-ammonio-3-deoxy-alpha-D-glucopyranose
1tob	TOC	2,6-diammonio-2,3,6-trideoxy-alpha-D-glucopyranose
1twq	AMU	N-acetyl-beta-muramic acid
1u30	LAG	MALTOSYL-ALPHA (1,4)-(Z,3S,4S,5R,6R)-3,4,5-TRIHYDROXY-6-HYDROXYMETHYL-PIPERIDIN-2-ONE OXIME
1u33	LM2	4'-O-METHYL-MALTOSYL-ALPHA (1,4)-(Z, 3S,4S,5R,6R)-3,4,5-TRIHYDROXY-6-HYDROXYMETHYL-PIPERIDIN-2-ONE
1usr	WIA	methyl 6-thio-beta-D-galactopyranoside
1v3m	GLD	4,6-dideoxy-alpha-D-xylo-hexopyranose
1v6w	GCV	4-O-methyl-alpha-D-glucopyranuronic acid
1x1j	46D	(4AR,6R,7S,8R,8AR)-8-((5R,6R)-3-CARBOXY-TETRAHYDRO-4,5,6-TRIHYDROXY-2H-PYRAN-2-YLOXY)-HEXAHYDRO-6,7-DIHYDROXY-2-METHYLPYRANO[3,2-D][1,3]DIOXINE-2-CARBOXYLIC ACID)
1x6u	DO8	3-deoxy-8-O-phosphono-alpha-D-manno-oct-2-ulopyranosonic acid
1x92	M7P	7-O-phosphono-D-glycero-alpha-D-manno-heptopyranose
1x9d	Z5L	methyl 2-thio-alpha-D-mannopyranoside
1xbx	HMS	5-O-phosphono-L-ribulose
1xd0	ARE	ACARBOSE DERIVED PENTASACCHARIDE
1xd1	6SA	ACARBOSE DERIVED HEXASACCHARIDE
1xh0	AAO	ACARBOSE DERIVED HEXASACCHARIDE
1xli	GLT	5-thio-alpha-D-glucopyranose
1xnk	TWY	4-thio-beta-D-xylopyranose
1xnk	Z4U	methyl 4-thio-alpha-D-xylopyranoside
1xsk	XYF	5(R)-fluoro-beta-D-xylopyranose
1xuz	MMN	5-DEOXY-5-{[(1S)-1-HYDROXYETHYL]AMINO}-D-GLUCITOL
1xyc	3MF	3-O-METHYLFRUCTOSE IN LINEAR FORM
1z3w	IDC	(5R,6R,7R,8S)-7,8-dihydroxy-5-(hydroxymethyl)-5,6,7,8-tetrahydroimidazo[1,2-a]pyridin-6-yl beta-D-glucopyranoside
1z5n	SR1	5-S-methyl-5-thio-alpha-D-ribofuranose
1zjo	DR4	METHYL 9-(BETA-D-TALOPYRANOSYLOXY)NONANOATE
1zly	GRF	5-O-phosphono-beta-D-ribofuranosylamine
1zn7	HSX	5-O-phosphono-alpha-D-ribofuranose
1zn7	PRP	1-O-pyrophosphono-5-O-phosphono-alpha-D-ribofuranose
1zx5	LFR	beta-L-fructofuranose
2a75	FSI	5-acetamido-3,5-dideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid
2ags	FKD	3-deoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid
2ant	NAA	2-acetamido-2-deoxy-beta-D-allopyranose
2b4c	XYL	Xylitol
2bp6	GXL	alpha-L-galactopyranose
2bs6	XYS	alpha-D-xylopyranose
2cis	TA6	6-O-phosphono-beta-D-tagatofuranose
2dsf	LXC	beta-L-xylopyranose
2dtw	2GS	2-O-methyl-alpha-D-galactopyranose
2du1	MGC	methyl 2-acetamido-2-deoxy-alpha-D-galactopyranoside
2dwa	BMA	beta-D-mannopyranose
2ec9	ASO	1,5-anhydro-D-glucitol
2f11	IEM	2-methylpropyl 2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid
2f12	HTM	3-hydroxypropyl 2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid
2f13	DYM	(2R)-2,3-dihydroxypropyl 2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid
2f2l	HSQ	2-acetylamino-2-deoxy-alpha-L-idopyranose
2faf	TQY	6-O-octanoyl-alpha-D-glucopyranose
2g5r	NXD	methyl 5-acetamido-9-{[amino(oxo)acetyl]amino}-3,5,9-trideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
2gd4	IDS	2-O-sulfo-alpha-L-idopyranuronic acid
2gd4	SUS	2-deoxy-3,6-di-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranose
2gd4	ZDO	methyl 2-deoxy-6-O-sulfo-2-(sulfoamino)-alpha-D-glucopyranoside
2hxu	LFC	6-deoxy-L-galactonic acid
2igo	SHG	2-deoxy-2-fluoro-beta-D-glucopyranose
2j60	ABE	alpha-D-Abequopyranose
2jdm	MFU	methyl alpha-L-fucopyranoside
2jdn	MMA	methyl alpha-D-mannopyranoside
2l65	DSR	2,6-dideoxy-4-thio-beta-D-allopyranose
2l65	EMP	2,4-dideoxy-4-(ethylamino)-3-O-methyl-alpha-L-threo-pentopyranose
2l65	MRP	3-O-methyl-alpha-L-rhamnopyranose
2lyg	1CF	2-hydroxyethyl 6-deoxy-beta-L-galactopyranoside
2nc6	4N2	beta-L-idopyranose
2o9d	HSG	octyl alpha-L-altropyranoside
2o9d	HSH	octyl beta-D-galactopyranoside
2p1s	Z9N	alpha-D-fructofuranose
2p53	NNG	2-deoxy-2-{[(S)-hydroxy(methyl)phosphoryl]amino}-6-O-phosphono-alpha-D-glucopyranose
2pri	D6G	2-deoxy-6-O-phosphono-alpha-D-glucopyranose
2qje	TVY	(1S)-2-amino-1-phenylethyl alpha-D-mannopyranoside
2qje	Z8T	beta-L-glucopyranose
2qjr	LGU	alpha-L-gulopyranuronic acid
2qkh	ZB0	2,3-di-O-methyl-alpha-D-glucopyranose
2qkh	ZB2	2-O-methyl-alpha-D-glucopyranose
2qkh	ZB3	2,6-di-O-methyl-alpha-D-glucopyranose
2qv4	QV4	4,6-dideoxy-4-{[(1S,4R,5R,6S)-4-{[alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl-(1->4)-alpha-D-glucopyranosyl]oxy}-5,6-dihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]amino}-alpha-D-glucopyranose
2qw1	3MG	3-O-methyl-beta-D-glucopyranose
2qwf	G20	5-N-acetyl-4-guanidino-6-methyl(propyl) carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid
2qwg	G28	5-N-acetyl-4-amino-6-diethyl carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid
2r2h	KO2	prop-2-en-1-yl D-glycero-alpha-D-talo-oct-2-ulopyranosidonic acid
2r5n	R5P	RIBOSE-5-PHOSPHATE
2ria	289	D-glycero-alpha-D-manno-heptopyranose
2rie	293	2-deoxy-beta-L-galacto-heptopyranose
2rl8	M6D	6-O-phosphono-beta-D-mannopyranose
2uyt	LRH	6-deoxy-beta-L-fructofuranose
2v38	IDR	alpha-L-idopyranuronic acid
2v4c	KDN	deamino-beta-neuraminic acid
2var	KDF	3-deoxy-alpha-D-erythro-hex-2-ulofuranosonic acid
2vuc	YX0	[(3E)-3-(1-hydroxyethylidene)-2,3-dihydroisoxazol-5-yl]methyl alpha-L-fucopyranoside
2vud	LZ0	[1-(2-oxoethyl)-1H-1,2,3-triazol-5-yl]methyl 6-deoxy-alpha-L-galactopyranoside
2vvo	A6P	6-O-phosphono-alpha-D-allopyranose
2w4x	STZ	Streptozotocin
2wf7	G7P	6,7-dideoxy-7-phosphono-beta-D-gluco-heptopyranose
2wf8	G1P	1-O-phosphono-alpha-D-glucopyranose
2wgt	18D	3,5-dideoxy-5-(propanoylamino)-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid
2wgu	42D	3,5-dideoxy-5-[(methoxycarbonyl)amino]-D-glycero-alpha-D-galacto-non-2-ulopyranosonic acid
2wgz	147	4-nitrophenyl beta-D-galactopyranoside
2wly	SN5	2-deoxy-2-(ethanethioylamino)-beta-D-glucopyranose
2wnu	IDU	2-O-sulfo-beta-L-altropyranuronic acid
2wnv	2DR	2-deoxy-beta-D-erythro-pentofuranose
2wq4	SFU	methyl 1-seleno-alpha-L-fucopyranoside
2wvu	JFZ	4-nitrophenyl 6-deoxy-alpha-L-galactopyranoside
2wx9	NGE	N-glycolyl-beta-neuraminic acid
2wyf	MBG	methyl beta-D-galactopyranoside
2xm1	LTM	N-ACETYL GLUCONOLACTAM
2xwo	SLM	(2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxamide
2xzi	KDM	deamino-alpha-neuraminic acid
2xzk	K99	(2R,3R,4R,5R,6S)-2,3-bis(fluoranyl)-4,5-bis(oxidanyl)-6-[(1R,2R)-1,2,3-tris(oxidanyl)propyl]oxane-2-carboxylic acid
2yau	TS8	2,3,4,6-tetra-O-acetyl-1-thio-beta-D-glucopyranose
2ygq	GU4	2,3,4,6-tetra-O-sulfonato-alpha-D-glucopyranose
2ygq	YYJ	1,3,4,6-tetra-O-sulfo-beta-D-fructofuranose
2yhx	OTG	2-deoxy-2-{[(2-methylphenyl)carbonyl]amino}-alpha-D-glucopyranose
2yi1	BMX	2-acetamido-2-deoxy-6-O-phosphono-alpha-D-mannopyranose
2z2c	UDC	2-acetamido-3-O-[(2S,3S)-2-carboxy-3,4-dihydroxybutan-2-yl]-2-deoxy-alpha-D-glucopyranose
2zmk	EGA	ethyl beta-D-galactopyranoside
2zox	PNG	4-nitrophenyl alpha-D-glucopyranoside
3ai3	SOE	alpha-L-sorbopyranose
3ai3	SOL	L-sorbose
3aki	AH8	(2R,3R,4R,5S)-2-azido-5-(hydroxymethyl)oxolane-3,4-diol
3b69	BFN	5-acetamido-9-(benzoylamino)-3,5,9-trideoxy-3-fluoro-D-erythro-alpha-L-manno-non-2-ulopyranosonic acid
3bvt	Z4R	methyl 3-thio-alpha-D-mannopyranoside
3bvw	YZ0	methyl beta-D-mannopyranoside
3bvw	Z4Y	6-thio-alpha-D-mannopyranose
3ca5	AMG	methyl alpha-D-galactopyranoside
3cig	NDG	2-acetamido-2-deoxy-alpha-D-glucopyranose
3cl5	SIO	methyl 4,9-di-O-acetyl-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
3ctp	XLF	beta-D-xylulofuranose
3cug	G3I	(3R,4R,5R)-3-hydroxy-5-(hydroxymethyl)piperidin-4-yl beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranosyl-(1->4)-beta-D-glucopyranoside
3cxo	3LR	3,6-dideoxy-L-arabino-hexonic acid
3d12	GL0	beta-D-gulopyranose
3d12	LXB	2-acetamido-2-deoxy-beta-D-gulopyranose
3d12	LXZ	2-acetamido-2-deoxy-alpha-D-idopyranose
3d12	NGZ	2-acetamido-2-deoxy-alpha-L-glucopyranose
3dje	FSA	1-S-(carboxymethyl)-1-thio-beta-D-fructopyranose
3dzf	RF5	2-deoxy-2-fluoro-5-O-phosphono-alpha-D-arabinofuranose
3fxi	GMH	L-glycero-alpha-D-manno-heptopyranose
3fxi	KDO	3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid
3fxi	PA1	2-amino-2-deoxy-alpha-D-glucopyranose
3g96	6MN	2-amino-2-deoxy-6-O-phosphono-alpha-D-mannopyranose
3gal	1GN	2-amino-2-deoxy-beta-D-galactopyranose
3gxt	NOJ	1-DEOXYNOJIRIMYCIN
3hdl	XYZ	beta-D-xylofuranose
3hg4	7JZ	2-deoxy-2,2-difluoro-beta-D-lyxo-hexopyranose
3i0g	BHG	hexyl beta-D-galactopyranoside
3i27	SID	methyl 9-S-acetyl-5-acetamido-3,5-dideoxy-9-thio-D-glycero-alpha-D-galacto-non-2-ulopyranosidonic acid
3ifc	P6P	6-O-phosphono-alpha-D-fructofuranose
3ij8	B0D	(2R,3S,4R,5R,6R)-2,6-difluoro-2-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol
3ij8	B9D	5-fluoro-alpha-L-idopyranose
3itb	AMV	methyl 2-acetamido-3-O-[(1R)-1-carboxyethyl]-2-deoxy-beta-D-glucopyranoside
3ito	PSV	alpha-D-psicofuranose
3k4z	XGP	1-O-phosphono-beta-D-glucopyranose
3kl3	GCU	alpha-D-glucopyranuronic acid
3kmb	MAG	methyl 2-acetamido-2-deoxy-beta-D-glucopyranoside
3kmb	SGA	3-O-sulfo-beta-D-galactopyranose
3kvr	R2G	2,5-anhydro-4-deoxy-D-erythro-pent-4-enitol
3l8h	FX1	beta-D-threo-hexo-2,4-diulo-2,5-furanose
3lbc	LAI	L-arabinose
3lqu	5SP	5-O-phosphono-D-xylulose
3o75	F1X	1-O-phosphono-beta-D-fructofuranose
3o9j	RP6	5-acetamido-2,6-anhydro-3,5-dideoxy-3-prop-2-en-1-yl-D-glycero-D-galacto-non-2-enonic acid
3ogs	IPT	1-methylethyl 1-thio-beta-D-galactopyranoside
3ogv	PTQ	2-phenylethyl 1-thio-beta-D-galactopyranoside
3oi7	OI7	1,7-di-O-phosphono-beta-D-altro-hept-2-ulofuranose
3old	G6D	alpha-D-quinovopyranose
3p5g	GLA	alpha-D-galactopyranose
3pl8	G3F	3-deoxy-3-fluoro-beta-D-glucopyranose
3q88	RI2	1,5-di-O-phosphono-alpha-D-ribofuranose
3qnq	ZDM	nonyl 4-O-alpha-D-glucopyranosyl-beta-D-glucopyranoside
3rhw	LMT	DODECYL-BETA-D-MALTOSIDE
3rok	27C	5-O-[(S)-butoxy(hydroxy)phosphoryl]-2-deoxy-2-fluoro-alpha-D-arabinofuranose
3rom	48Z	2-deoxy-2-fluoro-5-O-thiophosphono-alpha-D-arabinofuranose
3rop	50A	2-deoxy-2-fluoro-5-O-phosphono-alpha-D-ribofuranose
3roq	46Z	(2R,3R,4S,5S)-4-fluoro-3,5-dihydroxytetrahydrofuran-2-yl 2-phenylethyl hydrogen (S)-phosphate
3rul	N1L	2-amino-2-deoxy-beta-D-glucopyranuronic acid
3rum	BXY	alpha-D-arabinofuranose
3rum	RST	3-amino-2,3,6-trideoxy-alpha-L-ribo-hexopyranose
3rx7	9MR	(3R,4R,5R)-3-hydroxy-5-(hydroxymethyl)piperidin-4-yl beta-D-glucopyranoside
3t82	SG4	3,4-di-O-acetyl-6-O-sulfamoyl-alpha-D-glucopyranose
3t83	MG5	2,3,4-tri-O-propanoyl-6-O-sulfamoyl-beta-D-glucopyranose
3t83	SG5	2,3,4-tri-O-propanoyl-6-O-sulfamoyl-alpha-D-glucopyranose
3t84	SG6	4-O-acetyl-6-O-sulfamoyl-alpha-D-galactopyranose
3t85	SG7	3,4-di-O-acetyl-6-O-sulfamoyl-alpha-D-mannopyranose
3ti3	LNV	5-acetamido-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-7-O-methyl-D-glycero-D-galacto-non-2-enonic acid
3ti4	LVO	5-acetamido-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-7-O-methyl-9-O-octanoyl-D-glycero-D-galacto-non-2-enonic acid
3u2w	LCN	1,5-anhydro-D-arabino-hex-1-enitol
3uan	NGY	2-acetamido-2-deoxy-6-O-sulfo-alpha-D-glucopyranose
3ueq	OTU	3-O-alpha-D-glucopyranosyl-D-fructose
3up1	NGA	2-acetamido-2-deoxy-beta-D-galactopyranose
3vo0	GUF	2-deoxy-2-fluoro-beta-D-glucopyranuronic acid
3vo0	GUZ	2-deoxy-2-fluoro-alpha-D-glucopyranuronic acid
3vtr	TMX	2-deoxy-2-(trimethylammonio)-beta-D-glucopyranose
3w09	ZGE	5-acetamido-2,6-anhydro-4-carbamimidamido-3,4,5-trideoxy-3-fluoro-D-glycero-D-galacto-non-2-enonic acid
3wlj	3DO	3-deoxy-beta-D-glucopyranose
3wlp	GS1	1-thio-beta-D-glucopyranose
3wu2	HTG	heptyl 1-thio-beta-D-glucopyranoside
3ww2	LPK	L-psicose
3ww2	SF6	alpha-L-psicofuranose
3ww2	SF9	beta-L-psicofuranose
3ww4	3BU	L-allose
3zmr	GLO	D-glucose
3znk	NGS	2-acetamido-2-deoxy-6-O-sulfo-beta-D-glucopyranose
3zu6	2M8	(2R)-3-hydroxy-2-(alpha-D-mannopyranosyloxy)propanoic acid
4ah4	A2G	2-acetamido-2-deoxy-alpha-D-galactopyranose
4amw	5DI	alpha-D-threo-hexo-2,5-diulo-2,6-pyranosyl fluoride
4amx	5GF	5-fluoro-beta-D-glucopyranose
4amx	AFR	alpha-D-threo-hexo-2,5-diulo-5,1-pyranosyl fluoride
4aw7	L6S	6-O-sulfo-alpha-L-galactopyranose
4bq5	AAL	3,6-anhydro-alpha-L-galactopyranose
4c9f	GQ1	4-O-sulfo-alpha-D-glucopyranose
4ccd	2DG	2-deoxy-alpha-D-galactopyranose
4d0z	BBK	2-acetamido-2-deoxy-5-thio-alpha-D-galactopyranose
4d52	GIV	beta-L-galactopyranose
4d5v	XLS	D-xylose
4d8s	0HX	pentan-3-yl 2-acetamido-2,4-dideoxy-alpha-L-threo-hex-4-enopyranosiduronic acid
4e84	GMZ	1,7-di-O-phosphono-D-glycero-beta-D-manno-heptopyranose
4e84	M7B	7-O-phosphono-D-glycero-beta-D-manno-heptopyranose
4en3	AGH	N-{(1S,2R,3S)-1-[(ALPHA-D-GALACTOPYRANOSYLOXY)METHYL]-2,3-DIHYDROXYHEPTADECYL}HEXACOSANAMIDE
4ew9	AQA	4-deoxy-beta-L-threo-hex-4-enopyranuronic acid
4ew9	DGU	D-galacturonic acid
4f9o	0NZ	2-deoxy-6-O-phosphono-beta-D-glucopyranose
4foi	G16	1,6-di-O-phosphono-alpha-D-glucopyranose
4fpb	0WK	1,5-anhydro-6-O-phosphono-D-glucitol
4g4j	MCU	methyl 4-O-methyl-beta-D-glucopyranuronate
4gb1	0LP	5-acetamido-2,6-anhydro-3,5-dideoxy-3-[(2E)-3-phenylprop-2-en-1-yl]-D-glycero-L-altro-non-2-enonic acid
4gby	BNG	nonyl beta-D-glucopyranoside
4gc0	6BG	6-bromo-6-deoxy-beta-D-glucopyranose
